"","market","airlineaa","airlinedl","airlineua","airlineal","airlinelcc","airlinewn","airport1","state1","city1","population1","route1","tourism1","airport2","state2","city2","population2","route2","tourism2","distance","distancesq","passengers","airpresence","population","route","firm_nb"
"1","ABEATL",0,1,0,0,0,0,"ABE","US-PA","Allentown",106632,18,0,"ATL","US-GA","Atlanta",416474,97,0,692,478864,3435,2377020,261553,57.5,1
"2","ABEBNA",0,0,0,1,0,0,"ABE","US-PA","Allentown",106632,18,0,"BNA","US-TN","Nashville",545524,86,0,715,511225,786,561990,326078,52,1
"3","ABECVG",0,0,0,0,0,0,"ABE","US-PA","Allentown",106632,18,0,"CVG","US-KY","Cincinnati",331285,70,0,503,253009,939,472317,218958.5,44,0
"4","ABEDAL",0,0,0,0,0,0,"ABE","US-PA","Allentown",106632,18,0,"DAL","US-TX","Dallas",1188580,93,0,1354,1833316,15,20310,647606,55.5,0
"5","ABEDEN",0,0,1,1,0,0,"ABE","US-PA","Allentown",106632,18,0,"DEN","US-CO","Denver",554636,95,0,1540,2371600,1880,2895200,330634,56.5,2
"6","ABEDFW",0,0,1,1,0,0,"ABE","US-PA","Allentown",106632,18,0,"DFW","US-TX","Dallas-Fort Worth",534694,98,0,1315,1729225,1623,2134245,320663,58,2
"7","ABEFLL",0,1,0,1,0,0,"ABE","US-PA","Allentown",106632,18,0,"FLL","US-FL","Fort Lauderdale",152397,84,1,1047,1096209,1921,2011287,129514.5,51,2
"8","ABEIND",0,0,0,1,0,0,"ABE","US-PA","Allentown",106632,18,0,"IND","US-IN","Indianapolis",781870,76,0,577,332929,899,518723,444251,47,1
"9","ABELAX",0,0,0,1,0,0,"ABE","US-PA","Allentown",106632,18,0,"LAX","US-CA","Los Angeles",3694820,95,1,2389,5707321,1390,3320710,1900726,56.5,1
"10","ABEMCO",0,1,0,1,0,0,"ABE","US-PA","Allentown",106632,18,0,"MCO","US-FL","Orlando",185951,92,1,906,820836,14824,13430544,146291.5,55,2
"11","ABEMIA",0,0,0,1,0,0,"ABE","US-PA","Allentown",106632,18,0,"MIA","US-FL","Miami",362470,89,1,1068,1140624,1132,1208976,234551,53.5,1
"12","ABEMSY",0,1,0,1,0,0,"ABE","US-PA","Allentown",106632,18,0,"MSY","US-LA","New Orleans",484674,87,0,1111,1234321,1021,1134331,295653,52.5,2
"13","ABEORD",0,0,1,1,0,0,"ABE","US-PA","Allentown",106632,18,0,"ORD","US-IL","Chicago",2896016,97,0,654,427716,3632,2375328,1501324,57.5,2
"14","ABEPBI",0,0,0,1,0,0,"ABE","US-PA","Allentown",106632,18,0,"PBI","US-FL","West Palm Beach",82103,68,1,1006,1012036,1262,1269572,94367.5,43,1
"15","ABERSW",0,1,0,1,0,0,"ABE","US-PA","Allentown",106632,18,0,"RSW","US-FL","Fort Myers",51970,68,1,1038,1077444,1290,1339020,79301,43,2
"16","ABESFO",0,0,1,0,0,0,"ABE","US-PA","Allentown",106632,18,0,"SFO","US-CA","San Francisco",776733,88,1,2500,6250000,1299,3247500,441682.5,53,1
"17","ABESTL",0,0,0,0,0,0,"ABE","US-PA","Allentown",106632,18,0,"STL","US-MO","St Louis",348189,90,0,805,648025,825,664125,227410.5,54,0
"18","ABETPA",0,1,0,1,0,0,"ABE","US-PA","Allentown",106632,18,0,"TPA","US-FL","Tampa",303447,92,1,963,927369,2673,2574099,205039.5,55,2
"19","ABQALB",0,1,0,0,0,0,"ABQ","US-NM","Albuquerque",448607,67,0,"ALB","US-NY","Albany",95658,50,0,1833,3359889,1266,2320578,272132.5,58.5,1
"20","ABQATL",1,1,0,1,1,0,"ABQ","US-NM","Albuquerque",448607,67,0,"ATL","US-GA","Atlanta",416474,97,0,1269,1610361,7280,9238320,432540.5,82,4
"21","ABQAUS",1,1,0,1,0,1,"ABQ","US-NM","Albuquerque",448607,67,0,"AUS","US-TX","Austin",656562,74,0,613,375769,6843,4194759,552584.5,70.5,4
"22","ABQBDL",1,1,0,1,0,0,"ABQ","US-NM","Albuquerque",448607,67,0,"BDL","US-CT","Hartford",121578,66,0,1886,3556996,4186,7894796,285092.5,66.5,3
"23","ABQBHM",0,0,0,1,0,1,"ABQ","US-NM","Albuquerque",448607,67,0,"BHM","US-AL","Birmingham",242820,60,0,1166,1359556,1436,1674376,345713.5,63.5,2
"24","ABQBNA",1,1,0,1,0,1,"ABQ","US-NM","Albuquerque",448607,67,0,"BNA","US-TN","Nashville",545524,86,0,1123,1261129,2920,3279160,497065.5,76.5,4
"25","ABQBOI",0,0,1,1,0,1,"ABQ","US-NM","Albuquerque",448607,67,0,"BOI","US-ID","Boise",185787,38,0,781,609961,1353,1056693,317197,52.5,3
"26","ABQBOS",1,1,1,1,0,0,"ABQ","US-NM","Albuquerque",448607,67,0,"BOS","US-MA","Boston",589141,90,0,1974,3896676,6361,12556614,518874,78.5,4
"27","ABQBTR",0,1,0,0,0,0,"ABQ","US-NM","Albuquerque",448607,67,0,"BTR","US-LA","Baton Rouge",227818,33,0,952,906304,520,495040,338212.5,50,1
"28","ABQBUF",0,0,0,0,0,0,"ABQ","US-NM","Albuquerque",448607,67,0,"BUF","US-NY","Buffalo",292648,54,0,1591,2531281,784,1247344,370627.5,60.5,0
"29","ABQBUR",0,0,0,1,0,1,"ABQ","US-NM","Albuquerque",448607,67,0,"BUR","US-CA","Burbank",100316,39,1,672,451584,3984,2677248,274461.5,53,2
"30","ABQBWI",1,1,1,1,1,1,"ABQ","US-NM","Albuquerque",448607,67,0,"BWI","US-MD","Baltimore",651154,85,0,1670,2788900,14481,24183270,549880.5,76,6
"31","ABQCMH",1,1,0,1,0,0,"ABQ","US-NM","Albuquerque",448607,67,0,"CMH","US-OH","Columbus",711470,73,0,1343,1803649,3006,4037058,580038.5,70,3
"32","ABQCOS",0,0,1,0,0,0,"ABQ","US-NM","Albuquerque",448607,67,0,"COS","US-CO","Colorado Springs",360890,49,0,421,177241,501,210921,404748.5,58,1
"33","ABQCVG",0,1,0,0,0,0,"ABQ","US-NM","Albuquerque",448607,67,0,"CVG","US-KY","Cincinnati",331285,70,0,1240,1537600,2320,2876800,389946,68.5,1
"34","ABQDAL",0,0,0,0,0,1,"ABQ","US-NM","Albuquerque",448607,67,0,"DAL","US-TX","Dallas",1188580,93,0,580,336400,26247,15223260,818593.5,80,1
"35","ABQDAY",1,0,0,0,0,0,"ABQ","US-NM","Albuquerque",448607,67,0,"DAY","US-OH","Dayton",166179,45,0,1272,1617984,821,1044312,307393,56,1
