v1,market,firm,airline,airport1,state1,city1,population1,route1,tourism1,airport2,state2,city2,population2,route2,tourism2,distance,distancesq,passengers,airpresence,population,route,firm_nb,city_pair,operate1,operate2,tourism,lpopulation,ldistance,ldistancesq
1,ABEATL,aa,0,ABE,US-PA,Allentown,106632,18,0,ATL,US-GA,Atlanta,416474,97,0,692,478864,3435,2377020,261553,57.5,1,0,0,1,0,12.474392,6.5395861,13.079172
1,ABEATL,al,0,ABE,US-PA,Allentown,106632,18,0,ATL,US-GA,Atlanta,416474,97,0,692,478864,3435,2377020,261553,57.5,1,1,1,1,0,12.474392,6.5395861,13.079172
1,ABEATL,dl,1,ABE,US-PA,Allentown,106632,18,0,ATL,US-GA,Atlanta,416474,97,0,692,478864,3435,2377020,261553,57.5,1,0,1,1,0,12.474392,6.5395861,13.079172
1,ABEATL,lcc,0,ABE,US-PA,Allentown,106632,18,0,ATL,US-GA,Atlanta,416474,97,0,692,478864,3435,2377020,261553,57.5,1,0,0,1,0,12.474392,6.5395861,13.079172
1,ABEATL,ua,0,ABE,US-PA,Allentown,106632,18,0,ATL,US-GA,Atlanta,416474,97,0,692,478864,3435,2377020,261553,57.5,1,1,1,1,0,12.474392,6.5395861,13.079172
1,ABEATL,wn,0,ABE,US-PA,Allentown,106632,18,0,ATL,US-GA,Atlanta,416474,97,0,692,478864,3435,2377020,261553,57.5,1,0,0,0,0,12.474392,6.5395861,13.079172
2,ABEBNA,aa,0,ABE,US-PA,Allentown,106632,18,0,BNA,US-TN,Nashville,545524,86,0,715,511225,786,561990,326078,52,1,0,0,1,0,12.694892,6.5722823,13.144565
2,ABEBNA,al,1,ABE,US-PA,Allentown,106632,18,0,BNA,US-TN,Nashville,545524,86,0,715,511225,786,561990,326078,52,1,0,1,1,0,12.694892,6.5722823,13.144565
2,ABEBNA,dl,0,ABE,US-PA,Allentown,106632,18,0,BNA,US-TN,Nashville,545524,86,0,715,511225,786,561990,326078,52,1,1,1,1,0,12.694892,6.5722823,13.144565
2,ABEBNA,lcc,0,ABE,US-PA,Allentown,106632,18,0,BNA,US-TN,Nashville,545524,86,0,715,511225,786,561990,326078,52,1,0,0,0,0,12.694892,6.5722823,13.144565
2,ABEBNA,ua,0,ABE,US-PA,Allentown,106632,18,0,BNA,US-TN,Nashville,545524,86,0,715,511225,786,561990,326078,52,1,1,1,1,0,12.694892,6.5722823,13.144565
2,ABEBNA,wn,0,ABE,US-PA,Allentown,106632,18,0,BNA,US-TN,Nashville,545524,86,0,715,511225,786,561990,326078,52,1,0,0,1,0,12.694892,6.5722823,13.144565
3,ABECVG,aa,0,ABE,US-PA,Allentown,106632,18,0,CVG,US-KY,Cincinnati,331285,70,0,503,253009,939,472317,218958.5,44,0,0,0,1,0,12.296638,6.2205901,12.44118
3,ABECVG,al,0,ABE,US-PA,Allentown,106632,18,0,CVG,US-KY,Cincinnati,331285,70,0,503,253009,939,472317,218958.5,44,0,1,1,1,0,12.296638,6.2205901,12.44118
3,ABECVG,dl,0,ABE,US-PA,Allentown,106632,18,0,CVG,US-KY,Cincinnati,331285,70,0,503,253009,939,472317,218958.5,44,0,1,1,1,0,12.296638,6.2205901,12.44118
3,ABECVG,lcc,0,ABE,US-PA,Allentown,106632,18,0,CVG,US-KY,Cincinnati,331285,70,0,503,253009,939,472317,218958.5,44,0,0,0,0,0,12.296638,6.2205901,12.44118
3,ABECVG,ua,0,ABE,US-PA,Allentown,106632,18,0,CVG,US-KY,Cincinnati,331285,70,0,503,253009,939,472317,218958.5,44,0,1,1,1,0,12.296638,6.2205901,12.44118
3,ABECVG,wn,0,ABE,US-PA,Allentown,106632,18,0,CVG,US-KY,Cincinnati,331285,70,0,503,253009,939,472317,218958.5,44,0,0,0,0,0,12.296638,6.2205901,12.44118
4,ABEDAL,aa,0,ABE,US-PA,Allentown,106632,18,0,DAL,US-TX,Dallas,1188580,93,0,1354,1833316,15,20310,647606,55.5,0,0,0,1,0,13.381038,7.2108183,14.421637
4,ABEDAL,al,0,ABE,US-PA,Allentown,106632,18,0,DAL,US-TX,Dallas,1188580,93,0,1354,1833316,15,20310,647606,55.5,0,1,1,1,0,13.381038,7.2108183,14.421637
4,ABEDAL,dl,0,ABE,US-PA,Allentown,106632,18,0,DAL,US-TX,Dallas,1188580,93,0,1354,1833316,15,20310,647606,55.5,0,1,1,1,0,13.381038,7.2108183,14.421637
4,ABEDAL,lcc,0,ABE,US-PA,Allentown,106632,18,0,DAL,US-TX,Dallas,1188580,93,0,1354,1833316,15,20310,647606,55.5,0,0,0,0,0,13.381038,7.2108183,14.421637
4,ABEDAL,ua,0,ABE,US-PA,Allentown,106632,18,0,DAL,US-TX,Dallas,1188580,93,0,1354,1833316,15,20310,647606,55.5,0,0,1,0,0,13.381038,7.2108183,14.421637
4,ABEDAL,wn,0,ABE,US-PA,Allentown,106632,18,0,DAL,US-TX,Dallas,1188580,93,0,1354,1833316,15,20310,647606,55.5,0,0,0,1,0,13.381038,7.2108183,14.421637
5,ABEDEN,aa,0,ABE,US-PA,Allentown,106632,18,0,DEN,US-CO,Denver,554636,95,0,1540,2371600,1880,2895200,330634,56.5,2,0,0,1,0,12.708767,7.3395376,14.679075
5,ABEDEN,al,1,ABE,US-PA,Allentown,106632,18,0,DEN,US-CO,Denver,554636,95,0,1540,2371600,1880,2895200,330634,56.5,2,0,1,1,0,12.708767,7.3395376,14.679075
5,ABEDEN,dl,0,ABE,US-PA,Allentown,106632,18,0,DEN,US-CO,Denver,554636,95,0,1540,2371600,1880,2895200,330634,56.5,2,1,1,1,0,12.708767,7.3395376,14.679075
5,ABEDEN,lcc,0,ABE,US-PA,Allentown,106632,18,0,DEN,US-CO,Denver,554636,95,0,1540,2371600,1880,2895200,330634,56.5,2,0,0,1,0,12.708767,7.3395376,14.679075
5,ABEDEN,ua,1,ABE,US-PA,Allentown,106632,18,0,DEN,US-CO,Denver,554636,95,0,1540,2371600,1880,2895200,330634,56.5,2,0,1,1,0,12.708767,7.3395376,14.679075
5,ABEDEN,wn,0,ABE,US-PA,Allentown,106632,18,0,DEN,US-CO,Denver,554636,95,0,1540,2371600,1880,2895200,330634,56.5,2,0,0,0,0,12.708767,7.3395376,14.679075
6,ABEDFW,aa,0,ABE,US-PA,Allentown,106632,18,0,DFW,US-TX,Dallas-Fort Worth,534694,98,0,1315,1729225,1623,2134245,320663,58,2,0,0,1,0,12.678146,7.181592,14.363184
6,ABEDFW,al,1,ABE,US-PA,Allentown,106632,18,0,DFW,US-TX,Dallas-Fort Worth,534694,98,0,1315,1729225,1623,2134245,320663,58,2,0,1,1,0,12.678146,7.181592,14.363184
