v1,market,firm,airline,airport1,state1,city1,population1,route1,tourism1,airport2,state2,city2,population2,route2,tourism2,population,firm_nb,city_pair,operate1,operate2,tourism,lpopulation,passenger,dist,airpresence,route,distancesq,distance,ldistance,ldistancesq,lairpresence
1,ABEATL,aa,0,ABE,US-PA,Allentown,106632,18,0,ATL,US-GA,Atlanta,416474,97,0,261553,1,0,0,1,0,12.474392,0,0,0,0,478864,692,6.5395861,13.079172,0
1,ABEATL,al,0,ABE,US-PA,Allentown,106632,18,0,ATL,US-GA,Atlanta,416474,97,0,261553,1,1,1,1,0,12.474392,0,0,0,0,478864,692,6.5395861,13.079172,0
1,ABEATL,dl,1,ABE,US-PA,Allentown,106632,18,0,ATL,US-GA,Atlanta,416474,97,0,261553,1,0,1,1,0,12.474392,2227,708.56433,1577972.8,128.5,478864,692,6.5395861,13.079172,14.271652
1,ABEATL,lcc,0,ABE,US-PA,Allentown,106632,18,0,ATL,US-GA,Atlanta,416474,97,0,261553,1,0,0,1,0,12.474392,0,0,0,0,478864,692,6.5395861,13.079172,0
1,ABEATL,ua,0,ABE,US-PA,Allentown,106632,18,0,ATL,US-GA,Atlanta,416474,97,0,261553,1,1,1,1,0,12.474392,8,1260,10080,101,478864,692,6.5395861,13.079172,9.2184076
1,ABEATL,wn,0,ABE,US-PA,Allentown,106632,18,0,ATL,US-GA,Atlanta,416474,97,0,261553,1,0,0,0,0,12.474392,0,0,0,0,478864,692,6.5395861,13.079172,0
2,ABEBNA,aa,0,ABE,US-PA,Allentown,106632,18,0,BNA,US-TN,Nashville,545524,86,0,326078,1,0,0,1,0,12.694892,0,0,0,0,511225,715,6.5722823,13.144565,0
2,ABEBNA,al,1,ABE,US-PA,Allentown,106632,18,0,BNA,US-TN,Nashville,545524,86,0,326078,1,0,1,1,0,12.694892,0,0,0,0,511225,715,6.5722823,13.144565,0
2,ABEBNA,dl,0,ABE,US-PA,Allentown,106632,18,0,BNA,US-TN,Nashville,545524,86,0,326078,1,1,1,1,0,12.694892,57,906,51642,114.5,511225,715,6.5722823,13.144565,10.85211
2,ABEBNA,lcc,0,ABE,US-PA,Allentown,106632,18,0,BNA,US-TN,Nashville,545524,86,0,326078,1,0,0,0,0,12.694892,2,702,1404,23.5,511225,715,6.5722823,13.144565,7.2477927
2,ABEBNA,ua,0,ABE,US-PA,Allentown,106632,18,0,BNA,US-TN,Nashville,545524,86,0,326078,1,1,1,1,0,12.694892,0,0,0,0,511225,715,6.5722823,13.144565,0
2,ABEBNA,wn,0,ABE,US-PA,Allentown,106632,18,0,BNA,US-TN,Nashville,545524,86,0,326078,1,0,0,1,0,12.694892,0,0,0,0,511225,715,6.5722823,13.144565,0
