v1,market,airlineaa,airlineal,airlinedl,airlinelcc,airlineua,airlinewn,city_pairaa,operate1aa,operate2aa,passengeraa,distaa,airpresenceaa,routeaa,lairpresenceaa,city_pairal,operate1al,operate2al,passengeral,distal,airpresenceal,routeal,lairpresenceal,city_pairdl,operate1dl,operate2dl,passengerdl,distdl,airpresencedl,routedl,lairpresencedl,city_pairlcc,operate1lcc,operate2lcc,passengerlcc,distlcc,airpresencelcc,routelcc,lairpresencelcc,city_pairua,operate1ua,operate2ua,passengerua,distua,airpresenceua,routeua,lairpresenceua,city_pairwn,operate1wn,operate2wn,passengerwn,distwn,airpresencewn,routewn,lairpresencewn,airport1,state1,city1,population1,route1,tourism1,airport2,state2,city2,population2,route2,tourism2,population,firm_nb,tourism,lpopulation,distancesq,distance,ldistance,ldistancesq
1,ABEATL,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,2227,708.56433,1577972.8,128.5,14.271652,0,0,1,0,0,0,0,0,1,1,1,8,1260,10080,101,9.2184076,0,0,0,0,0,0,0,0,ABE,US-PA,Allentown,106632,18,0,ATL,US-GA,Atlanta,416474,97,0,261553,1,0,12.474392,478864,692,6.5395861,13.079172
2,ABEBNA,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,57,906,51642,114.5,10.85211,0,0,0,2,702,1404,23.5,7.2477927,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,ABE,US-PA,Allentown,106632,18,0,BNA,US-TN,Nashville,545524,86,0,326078,1,0,12.694892,511225,715,6.5722823,13.144565
3,ABECVG,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,13,1065,13845,119,9.5357513,0,0,0,0,0,0,0,0,1,1,1,13,918,11934,96.5,9.3872309,0,0,0,0,0,0,0,0,ABE,US-PA,Allentown,106632,18,0,CVG,US-KY,Cincinnati,331285,70,0,218958.5,0,0,12.296638,253009,503,6.2205901,12.44118
4,ABEDAL,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ABE,US-PA,Allentown,106632,18,0,DAL,US-TX,Dallas,1188580,93,0,647606,0,0,13.381038,1833316,1354,7.2108183,14.421637
5,ABEDEN,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,109,1898.0667,206889.27,115.5,12.239944,0,0,1,0,0,0,0,0,0,1,1,402,1560.6346,627375.13,128.5,13.349301,0,0,0,0,0,0,0,0,ABE,US-PA,Allentown,106632,18,0,DEN,US-CO,Denver,554636,95,0,330634,2,0,12.708767,2371600,1540,7.3395376,14.679075
6,ABEDFW,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,137,1432.7354,196284.75,123,12.187326,0,0,1,0,0,0,0,0,0,1,1,198,1456,288288,110.5,12.571719,0,0,0,0,0,0,0,0,ABE,US-PA,Allentown,106632,18,0,DFW,US-TX,Dallas-Fort Worth,534694,98,0,320663,2,0,12.678146,1729225,1315,7.181592,14.363184
7,ABEFLL,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,328,1276.7266,418766.31,111.5,12.94507,0,0,1,0,0,0,0,0,1,1,1,4,1836,7344,85,8.9017754,0,0,1,0,0,0,0,0,ABE,US-PA,Allentown,106632,18,0,FLL,US-FL,Fort Lauderdale,152397,84,1,129514.5,2,1,11.771548,1096209,1047,6.9536843,13.907369
8,ABEIND,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,601,601,110,6.4002576,0,0,1,8,636,5088,36.5,8.5348368,1,1,1,69,831,57339,105,10.956754,0,0,1,0,0,0,0,0,ABE,US-PA,Allentown,106632,18,0,IND,US-IN,Indianapolis,781870,76,0,444251,1,0,13.004145,332929,577,6.3578424,12.715685
9,ABELAX,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,71,2674.5667,189894.23,114,12.154228,0,0,1,0,0,0,0,0,1,1,1,194,2454.8022,476231.63,120.5,13.073662,0,0,1,0,0,0,0,0,ABE,US-PA,Allentown,106632,18,0,LAX,US-CA,Los Angeles,3694820,95,1,1900726,1,1,14.457747,5707321,2389,7.7786303,15.557261
10,ABEMCO,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,4674,952.18207,4450499,120.5,15.308527,0,0,1,0,0,0,0,0,1,1,1,44,1659,72996,107,11.198174,0,0,1,0,0,0,0,0,ABE,US-PA,Allentown,106632,18,0,MCO,US-FL,Orlando,185951,92,1,146291.5,2,1,11.893356,820836,906,6.8090391,13.618078
